Document,Chunk Size,Overlap,kNN,Query,Document Filename,Chunk Index,Chunk Text,Relevance,Completeness,Accuracy
4.pdf,200,50,1,"1. Where is the natural habitat of the Soft Tree Fern, Dicksonia antarctica?",4.pdf,0,"Austral Ecology

 (2002) 

27

, 360–368

Ecophysiology of the Soft Tree Fern, 
Labill

Dicksonia antarctica

1,3†

 N. J. DAVIDSON,

M. A. HUNT,
1
School of Plant Science, University of Tasmania, GPO",0,0,0
1.pdf,200,0,3,1. What percentage of Australia's landmass is covered by forest ecosystems?,1.pdf,252,"). A proportion of
the remaining forests (22%) have been subject to har-
vesting and reforestation activities (ABARES 2018).
Despite the considerable reduction in forest area
since European settlement",1,1,1
1.pdf,200,0,5,1. What percentage of Australia's landmass is covered by forest ecosystems?,1.pdf,87,"us forests
and mixed forests (Kirkpatrick 1991; Jones & Cleme-
sha 1993; McCarthy 1998).

doi:10.1111/aec.13103

© 2021 Ecological Society of Australia.

 14429993, 2022, 2, Downloaded from https://on",1,1,1
1.pdf,200,0,5,1. What percentage of Australia's landmass is covered by forest ecosystems?,1.pdf,51," Pryer 2014). In
Australia, tropical and temperate forest ecosystems
occur from the coast to ~1300 m above sea level
and within a broad latitudinal extent between −28°S
and −43.7°S.

doi:10.1111/aec.1",1,1,1
3.pdf,200,0,3,1. What type of environment does the Dicksonia antarctica naturally grow in?,3.pdf,36,"nia+antarctica)
Australian National Botanic Gardens: Dicksonia antarctica – the soft tree fern (http://www.anbg.gov.au/gnp/interns-2003/dicksonia-antarctic
a.html)
Large, M.F. and J.E. Braggins 2004. ",1,1,1
3.pdf,200,0,5,1. What type of environment does the Dicksonia antarctica naturally grow in?,3.pdf,33,"414/http://www.kew.org/plants-fungi/Dicksonia-antarctica.htm). Kew.org.

Archived from the original (http://www.kew.org/plants-fungi/Dicksonia-antarctica.htm) on 18 March 2013. Retrieved 24 July 2013.",1,1,1
3.pdf,200,0,3,2. How tall can Dicksonia antarctica typically grow?,3.pdf,17,"n

Dicksonia antarctica grows best in areas of rainfall of over 1,000 mm per year but in lower rainfall areas
does well in moist gullies. It is tolerant of fire and re-shoots readily after re-location",1,1,5
3.pdf,200,0,3,2. How tall can Dicksonia antarctica typically grow?,3.pdf,38,"
Retrieved from ""https://en.wikipedia.org/w/index.php?title=Dicksonia_antarctica&oldid=1253028614""

",1,1,1
3.pdf,200,0,5,2. How tall can Dicksonia antarctica typically grow?,3.pdf,17,"n

Dicksonia antarctica grows best in areas of rainfall of over 1,000 mm per year but in lower rainfall areas
does well in moist gullies. It is tolerant of fire and re-shoots readily after re-location",1,1,1
3.pdf,200,0,5,2. How tall can Dicksonia antarctica typically grow?,3.pdf,38,"
Retrieved from ""https://en.wikipedia.org/w/index.php?title=Dicksonia_antarctica&oldid=1253028614""

",1,1,1
3.pdf,200,0,5,2. How tall can Dicksonia antarctica typically grow?,3.pdf,23,"d of Garden Merit.[4][5]

Harvesting

Large  Dicksonia  antarctica  available  for  sale  come  from  old  growth  Tasmanian  forests,  and  may  be
hundreds  of  years  old.  The  trunks  are  also ",1,1,1
3.pdf,200,0,1,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,30,"(June 2002). ""Ecophysiology of the Soft Tree Fern, Dicksonia antarctica Labill"".

Austral Ecology. 27 (4): 360–368. doi:10.1046/j.1442-9993.2002.01190.x (https://doi.org/10.1046%2Fj.1442-9993.2002.011",1,1,1
3.pdf,200,0,3,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,30,"(June 2002). ""Ecophysiology of the Soft Tree Fern, Dicksonia antarctica Labill"".

Austral Ecology. 27 (4): 360–368. doi:10.1046/j.1442-9993.2002.01190.x (https://doi.org/10.1046%2Fj.1442-9993.2002.011",1,1,1
3.pdf,200,0,3,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,13,"s on damp, sheltered woodland slopes and moist gullies, and they occasionally occur at high
altitudes in cloud forests. Dicksonia antarctica is the most abundant tree fern in South Eastern Australia.
",1,1,1
3.pdf,200,0,5,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,30,"(June 2002). ""Ecophysiology of the Soft Tree Fern, Dicksonia antarctica Labill"".

Austral Ecology. 27 (4): 360–368. doi:10.1046/j.1442-9993.2002.01190.x (https://doi.org/10.1046%2Fj.1442-9993.2002.011",1,1,1
3.pdf,200,0,5,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,36,"nia+antarctica)
Australian National Botanic Gardens: Dicksonia antarctica – the soft tree fern (http://www.anbg.gov.au/gnp/interns-2003/dicksonia-antarctic
a.html)
Large, M.F. and J.E. Braggins 2004. ",1,1,1
3.pdf,200,0,5,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,13,"s on damp, sheltered woodland slopes and moist gullies, and they occasionally occur at high
altitudes in cloud forests. Dicksonia antarctica is the most abundant tree fern in South Eastern Australia.
",1,1,1
3.pdf,200,0,5,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,33,"414/http://www.kew.org/plants-fungi/Dicksonia-antarctica.htm). Kew.org.

Archived from the original (http://www.kew.org/plants-fungi/Dicksonia-antarctica.htm) on 18 March 2013. Retrieved 24 July 2013.",1,1,1
3.pdf,200,0,5,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,17,"n

Dicksonia antarctica grows best in areas of rainfall of over 1,000 mm per year but in lower rainfall areas
does well in moist gullies. It is tolerant of fire and re-shoots readily after re-location",1,1,1
3.pdf,200,0,5,4. Why is it advised to keep old fronds on the plant?,3.pdf,11,"evel, and
removing the fronds; the top part will form roots and regrow, but the base will die.

Gippsland, Australia.

Scientific classification

Kingdom:

Plantae

Clade:

Tracheophytes

Division:

P",1,1,1
3.pdf,200,0,3,5. What adaptation does Dicksonia antarctica have for surviving in fire-prone areas?,3.pdf,36,"nia+antarctica)
Australian National Botanic Gardens: Dicksonia antarctica – the soft tree fern (http://www.anbg.gov.au/gnp/interns-2003/dicksonia-antarctic
a.html)
Large, M.F. and J.E. Braggins 2004. ",1,1,1
3.pdf,200,0,5,5. What adaptation does Dicksonia antarctica have for surviving in fire-prone areas?,3.pdf,36,"nia+antarctica)
Australian National Botanic Gardens: Dicksonia antarctica – the soft tree fern (http://www.anbg.gov.au/gnp/interns-2003/dicksonia-antarctic
a.html)
Large, M.F. and J.E. Braggins 2004. ",1,1,1
3.pdf,200,0,5,5. What adaptation does Dicksonia antarctica have for surviving in fire-prone areas?,3.pdf,33,"414/http://www.kew.org/plants-fungi/Dicksonia-antarctica.htm). Kew.org.

Archived from the original (http://www.kew.org/plants-fungi/Dicksonia-antarctica.htm) on 18 March 2013. Retrieved 24 July 2013.",1,1,1
3.pdf,200,0,5,5. What adaptation does Dicksonia antarctica have for surviving in fire-prone areas?,3.pdf,13,"s on damp, sheltered woodland slopes and moist gullies, and they occasionally occur at high
altitudes in cloud forests. Dicksonia antarctica is the most abundant tree fern in South Eastern Australia.
",1,1,1
3.pdf,200,0,3,6. What challenging cultivation method is noted for Dicksonia antarctica and when should it be used?,3.pdf,36,"nia+antarctica)
Australian National Botanic Gardens: Dicksonia antarctica – the soft tree fern (http://www.anbg.gov.au/gnp/interns-2003/dicksonia-antarctic
a.html)
Large, M.F. and J.E. Braggins 2004. ",1,1,1
3.pdf,200,0,5,6. What challenging cultivation method is noted for Dicksonia antarctica and when should it be used?,3.pdf,31,"90.x).

4. ""Dicksonia antarctica"" (https://www.rhs.org.uk/Plants/5794/Dicksonia-antarctica/Details). Royal Horticultural Society. Retrieved 29 May

2020.

5. ""AGM Plants - Ornamental"" (https://www.rhs",1,1,1
3.pdf,200,0,5,6. What challenging cultivation method is noted for Dicksonia antarctica and when should it be used?,3.pdf,23,"d of Garden Merit.[4][5]

Harvesting

Large  Dicksonia  antarctica  available  for  sale  come  from  old  growth  Tasmanian  forests,  and  may  be
hundreds  of  years  old.  The  trunks  are  also ",1,1,1
